ALL,Albanian Lek,ALL,AL,"->>,>>>,>>>,>>>,>>9",false,?,?,?,?,?
ARS,Argentenian Peso,ARS,AR,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
ATS,Austrian Schilling,ATS,AT,"->>>,>>>,>>>,>>9.99",true,?,?,?,?,?
AUD,Australian Dollar,AUD,AU,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
BAM,Convertible Marka,BAM,BA,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
BDT,Bangladeshi Taka,BDT,BD,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
BEF,Belgian Franc,BEF,BE,"->>,>>>,>>>,>>>,>>9",true,?,?,?,?,?
BGL,Bulgarian Lev,BGL,BG,"->>,>>>,>>>,>>>,>>9",false,?,?,?,?,?
BRL,Brazilian Real,BRL,BR,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
BTC,Bitcoin,BTC,99,"->>>,>>>,>>>,>>9.99999999",false,?,?,?,?,?
CAD,Canadian Dollar,CA$,CA,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
CHF,Swiss Franc,CHF,CH,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
CLP,Chilean Peso,CLP,CL,"->>,>>>,>>>,>>>,>>9",false,?,?,?,?,?
CNY,Chinese Yuan Renminbi,CNY,CN,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
CRC,Costa Rican Colon,CRC,CR,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
CYP,Cyprus Pound,CYP,CY,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
CZK,Czech Koruna,CZK,CZ,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
DEM,Deutsche Mark,DM ,DE,"->>>,>>>,>>>,>>9.99",true,?,?,?,?,?
DKK,Danish Krone,DKK,DK,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
DZD,Algerian Dinar,DZD,DZ,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
EEK,Estonian Kroon,EEK,EE,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
EGP,Egyptian Pound,EGP,EG,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
ESP,Spanish Peseta,ESP,ES,"->>,>>>,>>>,>>>,>>9",true,?,?,?,?,?
EUR,European Monetary Unit,EUR,99,"->>>,>>>,>>>,>>9.99",true,?,?,?,?,?
FIM,Finnish Markka,FIM,FI,"->>>,>>>,>>>,>>9.99",true,?,?,?,?,?
FRF,French Franc,FFR,FR,"->>>,>>>,>>>,>>9.99",true,?,?,?,?,?
GBP,Pound Sterling,GBP,GB,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
GRD,Greek Drachma,GRD,GR,"->>,>>>,>>>,>>>,>>9",false,?,?,?,?,?
GTQ,Guatemalan Quetzal,GTQ,GT,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
HKD,Hong Kong Dollar,HK$,HK,"->>>,>>>,>>>,>>9.99",false,?,?,?,?,?
