43,1,January,2010-1-1,2010-1-31,2010-6-15,2010-6-15,?,?,?,?
43,2,February,2010-2-1,2010-2-28,2010-6-15,2010-6-15,?,?,?,?
43,3,March,2010-3-1,2010-3-31,2010-6-15,2010-6-15,?,?,?,?
43,4,April,2010-4-1,2010-4-30,2010-6-15,2010-6-15,?,?,?,?
43,5,May,2010-5-1,2010-5-31,2010-6-15,2010-6-15,?,?,?,?
43,6,June,2010-6-1,2010-6-30,2010-6-15,2010-6-15,?,?,?,?
43,7,July,2010-7-1,2010-7-31,2010-6-15,2010-6-15,?,?,?,?
43,8,August,2010-8-1,2010-8-31,2010-6-15,2010-6-15,?,?,?,?
43,9,September,2010-9-1,2010-9-30,2010-6-15,2010-6-15,?,?,?,?
43,10,October,2010-10-1,2010-10-31,2010-6-15,2010-6-15,?,?,?,?
43,11,November,2010-11-1,2010-11-30,2010-6-15,2010-6-15,?,?,?,?
43,12,December,2010-12-1,2010-12-31,2010-6-15,2010-6-15,?,?,?,?
43,13,January,2011-1-1,2011-1-31,2010-6-15,2010-6-15,?,?,?,?
43,14,February,2011-2-1,2011-2-28,2010-6-15,2010-6-15,?,?,?,?
43,15,March,2011-3-1,2011-3-31,2010-6-15,2010-6-15,?,?,?,?
43,16,April,2011-4-1,2011-4-30,2010-6-15,2010-6-15,?,?,?,?
43,17,May,2011-5-1,2011-5-31,2010-6-15,2010-6-15,?,?,?,?
43,18,June,2011-6-1,2011-6-30,2010-6-15,2010-6-15,?,?,?,?
43,19,July,2011-7-1,2011-7-31,2010-6-15,2010-6-15,?,?,?,?
43,20,August,2011-8-1,2011-8-31,2010-6-15,2010-6-15,?,?,?,?
