item without .,;:&() --- original item
---------------------------
Invalid Number Format --- "Invalid Number Format"
Select CSV Separator --- "Select CSV Separator"
SHUTDOWN PROCEDURE INITIATED --- "SHUTDOWN PROCEDURE INITIATED"
SHUTDOWN PROCEDURE FINISHED --- "SHUTDOWN PROCEDURE FINISHED"
Invalid number entered --- "Invalid number entered."
Invalid numbers entered --- "Invalid numbers entered."
Invalid date entered --- "Invalid date entered."
Invalid value entered --- "Invalid value entered."
invalid database system --- "invalid database system"
Copy To Clipboard --- "Copy To Clipboard"
Show Server Log --- "Show Server Log"
Show Client Log --- "Show Client Log"
Form Data Warning --- "Form Data Warning"
modified and saved --- "modified and saved"
modify and save --- "modify and save"
Closes this window --- "Closes this window"
The Development Team --- "&The Development Team..."
Petra Main Menu --- "Petra &Main Menu"
Last Failed Login --- "Last Failed Login:"
Help Improve Translations --- "&Help Improve Translations"
Starting OpenPetra Server --- "Starting OpenPetra Server..."
Invalid Occupation Code --- "Invalid Occupation Code"
Remember the username --- "Remember the username"
OpenPetra Server Busy --- "OpenPetra Server Busy"
Too Many Users --- "Too Many Users"
Server Connection Error --- "Server Connection Error"
No Server Response --- "No Server Response"
Yes to all --- "Yes to &all"
No to all --- "N&o to all"
Country Name Local --- "Country Name Local:"
Int'l Access Code --- "Int'l Access Code:"
Int'l Dialling Code --- "Int'l Dialling Code:"
Address Display Order --- "Address Display Order:"
Int'l Postal Type --- "Int'l Postal Type:"
Time Zone From --- "Time Zone From:"
Saves changed data --- "Saves changed data"
Undo Current Field --- "Undo &Current Field"
Number Of Years --- "Number Of Years:"
Number Of Months --- "Number Of Months:"
Number Of Days --- "Number Of Days:"
Number Of Hours --- "Number Of Hours:"
Number Of Minutes --- "Number Of Minutes:"
Enter a description --- "Enter a description"
New Language Code --- "New Language Code"
Maintain Language Codes --- "Maintain Language Codes"
Group heading optional --- "Group heading (optional):"
Lookup Category Code --- "Lookup Category Code"
Option list name --- "Option list name"
Number of Decimals --- "Number of Decimals:"
Screen opening cancelled --- "Screen opening cancelled"
Field Of Service --- "Field Of Service"
Address Line 3 --- "Address Line 3"
Alternate Phone No --- "Alternate Phone No"
Mobile Phone No --- "Mobile Phone No"
Similar Address Exists --- "Similar Address Exists"
All Addresses Expired --- "All Addresses Expired"
List expand button --- "List expand button"
Create new address --- "Create new address"
Functionality not available --- "Functionality not available"
Data successfully saved --- "Data successfully saved."
No Installed Sites! --- "No Installed Sites!"
Partner Gets Re-activated! --- "Partner Gets Re-activated!"
Multiple Mailing Addresses --- "Multiple Mailing Addresses"
from this partner? --- "from this partner?"
Cost Type Code --- "Cost Type Code:"
New Cost Type --- "New Cost Type"
Present Attendee Report --- "Present Attendee Report"
Conference Module OpenPetraorg --- "Conference Module OpenPetra.org"
AP Analysis Attributes --- "AP Analysis Attributes"
Use Tax Acct --- "Use Ta&x Acct"
AP Document Edit --- "AP Document Edit"
Select posting date --- "Select posting date"
Posting was cancelled --- "Posting was cancelled."
Default Payment Type --- "Default &Payment Type:"
Discount Value % --- "Discount &Value (%):"
Default Bank Account --- "Default &Bank Account:"
Default Cost Centre --- "Default C&ost Centre:"
Default Expense Account --- "Default &Expense Account:"
AP Supplier Edit --- "AP Supplier Edit"
Show Outstanding Amounts --- "Show Outstanding &Amounts"
Hide Inactive Suppliers --- "Hide &Inactive Suppliers"
Tag all Postable --- "Tag a&ll Postable"
Tag all Payable --- "Tag all Paya&ble"
Tag all Approvable --- "Tag all Appro&vable"
Sum of Tagged --- "Sum of Tagged:"
Create Credit Note --- "Create C&redit Note"
Reprint Payment Report --- "Reprint Pa&yment Report"
Document reversal failed --- "Document reversal failed"
Select reversal date --- "Select reversal date"
Reversal was cancelled --- "Reversal was cancelled."
Document Deletion failed --- "Document Deletion failed"
Documents deleted successfully! --- "Document(s) deleted successfully!"
Suppliers to Pay --- "Suppliers to Pay"
Amount in Base --- "Amount in Base:"
Amount To Pay --- "Amount To Pay"
Select payment date --- "Select payment date"
Reverse Payment Failed --- "Reverse Payment Failed"
Hide Aged Transactions --- "Hide &Aged Transactions"
New Credit Note --- "New &Credit Note"
Reprint Remittance Advice --- "Reprint Re&mittance Advice"
This Year's Budgets --- "&This Year's Budgets"
Last Year's Actuals --- "&Last Year's Actuals"
Auto Generate Budget --- "Auto Generate Budget"
Data exported successfully! --- "Data exported successfully!"
First Period Amount --- "First Period Amount:"
Inflate after period --- "Inflate after period:"
Period 1 Amount --- "Period 1 Amount:"
Period 7 Index --- "Period 7 Index:"
Period 2 Index --- "Period 2 Index:"
Period 8 Index --- "Period 8 Index:"
Period 3 Index --- "Period 3 Index:"
Period 9 Index --- "Period 9 Index:"
Period 4 Index --- "Period 4 Index:"
Period 10 Index --- "Period 10 Index:"
Period 5 Index --- "Period 5 Index:"
Period 11 Index --- "Period 11 Index:"
Period 6 Index --- "Period 6 Index:"
Period 12 Index --- "Period 12 Index:"
Budget files *csv|*csv --- "Budget files (*.csv)|*.csv"
Bank Statement Date --- "Bank Statement Date:"
Number of Transactions --- "Number of Transactions:"
Create Gift Batch --- "Create Gift Batch"
Export Gift Batch --- "Export Gift Batch"
Import New Statement --- "Import New Statement"
Import Bank Statements --- "Import Bank Statements"
Cost Centre Name --- "Cost Centre Name"
Full bank statement --- "Full bank statement"
nothing to print --- "nothing to print"
Select Bank Account --- "Select Bank Account:"
Select a ledger --- "Select a ledger"
Show Statements From --- "Show Statements From:"
Number of Gifts --- "Number of Gifts:"
Donor Recipient History --- "Donor Recipient History"
Date for summary --- "Date for summary"
Detail or Summary --- "Detail or Summary"
Original Transaction Currency --- "Original Transaction Currency"
Batch Number from --- "Batch Number from:"
Include Unposted Batches --- "Include Unposted Batches:"
With extra columns --- "With extra columns:"
Export Gift Batches --- "Export Gift Batches"
Worker Partner Key --- "Worker Partner Key:"
Total Number Pages --- "Total Number Pages"
Print Current Page --- "Print Current Page"
Add Contact History --- "Add Contact History"
Nothing to print --- "Nothing to print"
HTML file *html|*html*htm --- "HTML file (*.html)|*.html;*.htm"
Old Field Key --- "Old Field Key:"
Field Change Adjustment --- "Field Change Adjustment"
Valid Date Range --- "Valid Date Range:"
Recurring Gift Batches --- "Recurring Gift Batches"
Submit recurring Batch --- "Submit recurring Batch"
