item without .,;:&() --- original item
---------------------------
Value Out of Range --- "Value Out of Range"
Zipped Text file *ymlgz|*ymlgz --- "Zipped Text file (*.yml.gz)|*.yml.gz"
Exception has been thrown --- "Exception has been thrown"
Error Details - OpenPetra --- "Error Details - OpenPetra"
Log Files - OpenPetra --- "Log Files - OpenPetra"
The Server log file --- "The Server log file:"
The Client log file --- "The Client log file:"
Problem on opening logfile --- "Problem on opening logfile"
Form Contains Invalid Data! --- "Form Contains Invalid Data!"
Record Contains Invalid Data! --- "Record Contains Invalid Data!"
deleted it somewhere else --- "deleted it somewhere else"
Access to Partner {0}denied --- "Access to Partner {0}denied."
Go to Finance Module --- "Go to Finance Module"
Go to Partner Module --- "Go to Partner Module"
Cannot check for patches --- "Cannot check for patches"
Install new OpenPetra patch --- "Install new OpenPetra patch"
Contains search term *-* --- "Contains search term *-*"
NOT A VALID VALUE! --- "NOT A VALID VALUE!"
No valid Extract selected --- "No valid Extract selected"
Int Postal Type Code --- "Int. Postal Type Code:"
For Long Term Applications --- " For Long Term Applications"
For Short Term Applications --- " For Short Term Applications"
Maintain Local Data Fields --- "Maintain Local Data Fields"
Enter a currency code --- "Enter a currency code"
Enter the currency name --- "Enter the currency name"
Filter by Event Type --- "Filter by Event Type"
Filter by Event Name --- "Filter by Event Name"
Expire All Current Addresses --- "Expire All Current Addresses"
Delete currently selected Address --- "Delete currently selected Address"
OpenPetra Server Too Busy --- "OpenPetra Server Too Busy"
Save changes before closing? --- "Save changes before closing?"
Security Violation - Explanation --- "Security Violation - Explanation"
Address Cannot be Expired --- "Address Cannot be Expired"
Maintain Conference Cost Types --- "Maintain Conference Cost Types"
Invoice Aging in months --- "Invoice A&ging (in months):"
Credit Terms in days --- "C&redit Terms (in days):"
Create a new supplier --- "Create a new supplier"
Invoices in this payment --- "Invoices in this payment"
The payment was cancelled --- "The payment was cancelled."
Amount for period 12 --- "Amount for period 12:"
Enter an account code --- "Enter an account code"
Import a bank statement --- "Import a bank statement"
Select a bank statement --- "Select a bank statement"
Error calling Donor/Recipient history --- "Error calling Donor/Recipient history"
No current partner selected --- "No current partner selected"
Date Or Batch Range --- "Date Or Batch Range"
Subscriptions for new Donors --- "Subscriptions for new Donors"
Print Annual Gift Receipts --- "Print Annual Gift Receipts"
Comment 1 for Reversal --- "Comment 1 for Reversal:"
Comment 2 for Reversal --- "Comment 2 for Reversal:"
